state,action_index,action,next_state,probability
105,28,Declaration REJECTED by SUPERVISOR,125,1.0
72,11,Request Payment,75,1.0
78,11,Request Payment,75,1.0
80,32,Declaration APPROVED by SUPERVISOR,127,1.0
127,40,Declaration REJECTED by DIRECTOR,128,1.0
128,20,Declaration REJECTED by EMPLOYEE,88,1.0
84,5,Start trip,77,1.0
94,24,Permit REJECTED by SUPERVISOR,122,1.0
90,24,Permit REJECTED by SUPERVISOR,110,1.0
110,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
91,39,Request For Payment REJECTED by SUPERVISOR,129,1.0
129,25,Permit REJECTED by EMPLOYEE,111,1.0
111,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
91,1,Permit SUBMITTED by EMPLOYEE,69,1.0
86,5,Start trip,77,1.0
77,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
77,1,Permit SUBMITTED by EMPLOYEE,69,1.0
72,6,End trip,78,1.0
116,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
86,3,Permit APPROVED by BUDGET OWNER,85,1.0
85,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
74,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
73,11,Request Payment,75,1.0
63,13,archive_application,32,1.0
75,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
76,10,Declaration FINAL_APPROVED by SUPERVISOR,81,1.0
81,12,Payment Handled,76,1.0
88,5,Start trip,77,1.0
69,30,Permit REJECTED by ADMINISTRATION,130,1.0
130,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
71,25,Permit REJECTED by EMPLOYEE,111,1.0
85,15,Request For Payment APPROVED by ADMINISTRATION,72,1.0
84,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
97,9,Declaration APPROVED by BUDGET OWNER,105,1.0
73,31,Declaration SAVED by EMPLOYEE,131,1.0
131,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
80,12,Payment Handled,76,1.0
93,30,Permit REJECTED by ADMINISTRATION,132,1.0
132,25,Permit REJECTED by EMPLOYEE,123,1.0
80,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
86,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
77,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
90,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
73,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
78,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
93,5,Start trip,96,1.0
97,2,Permit APPROVED by ADMINISTRATION,94,1.0
86,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
87,6,End trip,78,1.0
78,20,Declaration REJECTED by EMPLOYEE,88,1.0
77,37,Request For Payment APPROVED by SUPERVISOR,112,1.0
112,6,End trip,78,1.0
78,38,Request For Payment FINAL_APPROVED by DIRECTOR,113,1.0
99,7,Declaration SUBMITTED by EMPLOYEE,98,1.0
100,10,Declaration FINAL_APPROVED by SUPERVISOR,100,1.0
101,11,Request Payment,101,1.0
85,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
77,11,Request Payment,75,1.0
75,6,End trip,78,1.0
78,12,Payment Handled,76,1.0
78,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
73,18,Send Reminder,116,1.0
116,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
102,9,Declaration APPROVED by BUDGET OWNER,105,1.0
72,22,Permit APPROVED by SUPERVISOR,83,1.0
75,23,Permit FINAL_APPROVED by DIRECTOR,84,1.0
84,12,Payment Handled,76,1.0
101,6,End trip,97,1.0
97,12,Payment Handled,102,1.0
89,32,Declaration APPROVED by SUPERVISOR,127,1.0
127,33,Declaration FINAL_APPROVED by DIRECTOR,133,1.0
133,11,Request Payment,75,1.0
76,9,Declaration APPROVED by BUDGET OWNER,89,1.0
91,16,Request For Payment APPROVED by BUDGET OWNER,86,1.0
89,16,Request For Payment APPROVED by BUDGET OWNER,86,1.0
86,10,Declaration FINAL_APPROVED by SUPERVISOR,81,1.0
101,5,Start trip,96,1.0
96,12,Payment Handled,102,1.0
77,3,Permit APPROVED by BUDGET OWNER,85,1.0
85,6,End trip,78,1.0
115,18,Send Reminder,115,1.0
109,20,Declaration REJECTED by EMPLOYEE,109,1.0
71,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
73,6,End trip,78,1.0
78,15,Request For Payment APPROVED by ADMINISTRATION,72,1.0
72,41,Request For Payment REJECTED by BUDGET OWNER,134,1.0
134,3,Permit APPROVED by BUDGET OWNER,85,1.0
85,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
91,4,Permit FINAL_APPROVED by SUPERVISOR,73,1.0
89,6,End trip,78,1.0
78,10,Declaration FINAL_APPROVED by SUPERVISOR,81,1.0
86,12,Payment Handled,76,1.0
78,27,Request For Payment SAVED by EMPLOYEE,124,1.0
124,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
90,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
72,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
113,5,Start trip,77,1.0
105,9,Declaration APPROVED by BUDGET OWNER,105,1.0
98,20,Declaration REJECTED by EMPLOYEE,109,1.0
70,26,Permit REJECTED by BUDGET OWNER,135,1.0
135,25,Permit REJECTED by EMPLOYEE,111,1.0
96,22,Permit APPROVED by SUPERVISOR,106,1.0
19,6,End trip,26,1.0
71,18,Send Reminder,116,1.0
79,34,Request For Payment REJECTED by ADMINISTRATION,90,1.0
90,8,Declaration APPROVED by ADMINISTRATION,80,1.0
79,10,Declaration FINAL_APPROVED by SUPERVISOR,81,1.0
81,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
91,11,Request Payment,75,1.0
72,8,Declaration APPROVED by ADMINISTRATION,80,1.0
79,12,Payment Handled,76,1.0
86,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
86,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
80,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
74,9,Declaration APPROVED by BUDGET OWNER,89,1.0
89,11,Request Payment,75,1.0
105,5,Start trip,96,1.0
109,9,Declaration APPROVED by BUDGET OWNER,105,1.0
95,31,Declaration SAVED by EMPLOYEE,118,1.0
118,5,Start trip,96,1.0
97,26,Permit REJECTED by BUDGET OWNER,126,1.0
97,24,Permit REJECTED by SUPERVISOR,122,1.0
72,24,Permit REJECTED by SUPERVISOR,110,1.0
70,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
129,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
97,22,Permit APPROVED by SUPERVISOR,106,1.0
108,10,Declaration FINAL_APPROVED by SUPERVISOR,100,1.0
102,20,Declaration REJECTED by EMPLOYEE,109,1.0
72,39,Request For Payment REJECTED by SUPERVISOR,129,1.0
129,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
91,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
96,19,Declaration REJECTED by ADMINISTRATION,108,1.0
109,6,End trip,97,1.0
79,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
76,8,Declaration APPROVED by ADMINISTRATION,80,1.0
136,1,Permit SUBMITTED by EMPLOYEE,137,1.0
137,2,Permit APPROVED by ADMINISTRATION,138,1.0
138,24,Permit REJECTED by SUPERVISOR,139,1.0
139,25,Permit REJECTED by EMPLOYEE,140,1.0
140,1,Permit SUBMITTED by EMPLOYEE,137,1.0
138,4,Permit FINAL_APPROVED by SUPERVISOR,141,1.0
141,5,Start trip,142,1.0
142,6,End trip,143,1.0
143,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
144,8,Declaration APPROVED by ADMINISTRATION,145,1.0
145,10,Declaration FINAL_APPROVED by SUPERVISOR,146,1.0
146,11,Request Payment,147,1.0
147,12,Payment Handled,148,1.0
148,13,archive_application,149,1.0
138,3,Permit APPROVED by BUDGET OWNER,150,1.0
150,4,Permit FINAL_APPROVED by SUPERVISOR,141,1.0
145,9,Declaration APPROVED by BUDGET OWNER,151,1.0
151,10,Declaration FINAL_APPROVED by SUPERVISOR,146,1.0
144,19,Declaration REJECTED by ADMINISTRATION,152,1.0
152,20,Declaration REJECTED by EMPLOYEE,153,1.0
153,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
150,22,Permit APPROVED by SUPERVISOR,154,1.0
154,23,Permit FINAL_APPROVED by DIRECTOR,155,1.0
155,5,Start trip,142,1.0
138,22,Permit APPROVED by SUPERVISOR,154,1.0
143,18,Send Reminder,156,1.0
156,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
138,5,Start trip,142,1.0
142,4,Permit FINAL_APPROVED by SUPERVISOR,141,1.0
141,6,End trip,143,1.0
145,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
146,10,Declaration FINAL_APPROVED by SUPERVISOR,146,1.0
148,12,Payment Handled,148,1.0
143,4,Permit FINAL_APPROVED by SUPERVISOR,141,1.0
141,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
136,5,Start trip,142,1.0
143,1,Permit SUBMITTED by EMPLOYEE,137,1.0
151,28,Declaration REJECTED by SUPERVISOR,157,1.0
157,20,Declaration REJECTED by EMPLOYEE,153,1.0
151,32,Declaration APPROVED by SUPERVISOR,158,1.0
158,33,Declaration FINAL_APPROVED by DIRECTOR,159,1.0
159,11,Request Payment,147,1.0
74,6,End trip,78,1.0
137,30,Permit REJECTED by ADMINISTRATION,160,1.0
160,25,Permit REJECTED by EMPLOYEE,140,1.0
142,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
148,6,End trip,143,1.0
143,13,archive_application,149,1.0
145,29,Declaration REJECTED by BUDGET OWNER,161,1.0
161,9,Declaration APPROVED by BUDGET OWNER,151,1.0
147,20,Declaration REJECTED by EMPLOYEE,153,1.0
153,12,Payment Handled,148,1.0
148,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
148,5,Start trip,142,1.0
145,32,Declaration APPROVED by SUPERVISOR,158,1.0
81,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
80,11,Request Payment,75,1.0
75,9,Declaration APPROVED by BUDGET OWNER,89,1.0
89,12,Payment Handled,76,1.0
138,26,Permit REJECTED by BUDGET OWNER,162,1.0
162,25,Permit REJECTED by EMPLOYEE,140,1.0
152,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
79,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
144,5,Start trip,142,1.0
143,19,Declaration REJECTED by ADMINISTRATION,152,1.0
144,9,Declaration APPROVED by BUDGET OWNER,151,1.0
146,19,Declaration REJECTED by ADMINISTRATION,152,1.0
153,11,Request Payment,147,1.0
71,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
72,15,Request For Payment APPROVED by ADMINISTRATION,72,1.0
134,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
144,6,End trip,143,1.0
143,8,Declaration APPROVED by ADMINISTRATION,145,1.0
141,18,Send Reminder,156,1.0
145,28,Declaration REJECTED by SUPERVISOR,157,1.0
150,5,Start trip,142,1.0
155,18,Send Reminder,156,1.0
130,25,Permit REJECTED by EMPLOYEE,111,1.0
147,11,Request Payment,147,1.0
146,6,End trip,143,1.0
143,11,Request Payment,147,1.0
54,42,Permit REJECTED by DIRECTOR,163,1.0
163,25,Permit REJECTED by EMPLOYEE,48,1.0
143,3,Permit APPROVED by BUDGET OWNER,150,1.0
71,24,Permit REJECTED by SUPERVISOR,110,1.0
85,34,Request For Payment REJECTED by ADMINISTRATION,90,1.0
138,18,Send Reminder,156,1.0
156,4,Permit FINAL_APPROVED by SUPERVISOR,141,1.0
85,5,Start trip,77,1.0
142,1,Permit SUBMITTED by EMPLOYEE,137,1.0
138,6,End trip,143,1.0
142,3,Permit APPROVED by BUDGET OWNER,150,1.0
145,5,Start trip,142,1.0
142,10,Declaration FINAL_APPROVED by SUPERVISOR,146,1.0
79,5,Start trip,77,1.0
142,24,Permit REJECTED by SUPERVISOR,139,1.0
26,43,Permit REJECTED by MISSING,164,1.0
164,13,archive_application,32,1.0
150,6,End trip,143,1.0
143,24,Permit REJECTED by SUPERVISOR,139,1.0
139,1,Permit SUBMITTED by EMPLOYEE,137,1.0
150,18,Send Reminder,156,1.0
161,20,Declaration REJECTED by EMPLOYEE,153,1.0
90,34,Request For Payment REJECTED by ADMINISTRATION,90,1.0
91,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
152,6,End trip,143,1.0
143,20,Declaration REJECTED by EMPLOYEE,153,1.0
151,6,End trip,143,1.0
143,10,Declaration FINAL_APPROVED by SUPERVISOR,146,1.0
90,5,Start trip,77,1.0
77,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
145,6,End trip,143,1.0
147,5,Start trip,142,1.0
142,12,Payment Handled,148,1.0
71,6,End trip,78,1.0
90,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
74,35,Request For Payment REJECTED by EMPLOYEE,91,1.0
147,6,End trip,143,1.0
143,12,Payment Handled,148,1.0
146,20,Declaration REJECTED by EMPLOYEE,153,1.0
145,11,Request Payment,147,1.0
147,9,Declaration APPROVED by BUDGET OWNER,151,1.0
151,12,Payment Handled,148,1.0
148,10,Declaration FINAL_APPROVED by SUPERVISOR,146,1.0
155,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
151,5,Start trip,142,1.0
83,11,Request Payment,75,1.0
73,34,Request For Payment REJECTED by ADMINISTRATION,90,1.0
72,23,Permit FINAL_APPROVED by DIRECTOR,84,1.0
155,6,End trip,143,1.0
143,9,Declaration APPROVED by BUDGET OWNER,151,1.0
36,5,Start trip,25,1.0
85,23,Permit FINAL_APPROVED by DIRECTOR,84,1.0
84,22,Permit APPROVED by SUPERVISOR,83,1.0
83,5,Start trip,77,1.0
83,14,Request For Payment SUBMITTED by EMPLOYEE,71,1.0
48,6,End trip,26,1.0
20,43,Permit REJECTED by MISSING,164,1.0
148,9,Declaration APPROVED by BUDGET OWNER,151,1.0
87,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
15,44,Permit FOR_APPROVAL by ADMINISTRATION,165,1.0
165,5,Start trip,25,1.0
156,18,Send Reminder,156,1.0
91,17,Request For Payment FINAL_APPROVED by SUPERVISOR,74,1.0
146,9,Declaration APPROVED by BUDGET OWNER,151,1.0
151,11,Request Payment,147,1.0
147,10,Declaration FINAL_APPROVED by SUPERVISOR,146,1.0
131,7,Declaration SUBMITTED by EMPLOYEE,79,1.0
166,1,Permit SUBMITTED by EMPLOYEE,167,1.0
167,2,Permit APPROVED by ADMINISTRATION,168,1.0
168,4,Permit FINAL_APPROVED by SUPERVISOR,169,1.0
169,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
170,15,Request For Payment APPROVED by ADMINISTRATION,171,1.0
171,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
172,11,Request Payment,173,1.0
173,12,Payment Handled,174,1.0
174,5,Start trip,175,1.0
175,6,End trip,176,1.0
176,18,Send Reminder,177,1.0
177,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
178,8,Declaration APPROVED by ADMINISTRATION,179,1.0
179,10,Declaration FINAL_APPROVED by SUPERVISOR,180,1.0
180,11,Request Payment,173,1.0
174,13,archive_application,181,1.0
71,26,Permit REJECTED by BUDGET OWNER,135,1.0
140,5,Start trip,142,1.0
144,10,Declaration FINAL_APPROVED by SUPERVISOR,146,1.0
81,6,End trip,78,1.0
150,24,Permit REJECTED by SUPERVISOR,139,1.0
168,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
171,3,Permit APPROVED by BUDGET OWNER,182,1.0
182,4,Permit FINAL_APPROVED by SUPERVISOR,169,1.0
169,16,Request For Payment APPROVED by BUDGET OWNER,183,1.0
183,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
174,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
171,16,Request For Payment APPROVED by BUDGET OWNER,183,1.0
176,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
179,9,Declaration APPROVED by BUDGET OWNER,184,1.0
184,10,Declaration FINAL_APPROVED by SUPERVISOR,180,1.0
174,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
146,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
153,10,Declaration FINAL_APPROVED by SUPERVISOR,146,1.0
147,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
146,12,Payment Handled,148,1.0
148,11,Request Payment,147,1.0
145,12,Payment Handled,148,1.0
168,3,Permit APPROVED by BUDGET OWNER,182,1.0
178,19,Declaration REJECTED by ADMINISTRATION,185,1.0
185,20,Declaration REJECTED by EMPLOYEE,186,1.0
186,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
90,10,Declaration FINAL_APPROVED by SUPERVISOR,81,1.0
75,10,Declaration FINAL_APPROVED by SUPERVISOR,81,1.0
144,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
145,8,Declaration APPROVED by ADMINISTRATION,145,1.0
170,34,Request For Payment REJECTED by ADMINISTRATION,187,1.0
187,35,Request For Payment REJECTED by EMPLOYEE,188,1.0
188,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
152,11,Request Payment,147,1.0
187,4,Permit FINAL_APPROVED by SUPERVISOR,169,1.0
169,35,Request For Payment REJECTED by EMPLOYEE,188,1.0
151,31,Declaration SAVED by EMPLOYEE,189,1.0
189,10,Declaration FINAL_APPROVED by SUPERVISOR,146,1.0
170,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
187,15,Request For Payment APPROVED by ADMINISTRATION,171,1.0
183,35,Request For Payment REJECTED by EMPLOYEE,188,1.0
174,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
173,5,Start trip,175,1.0
175,12,Payment Handled,174,1.0
174,6,End trip,176,1.0
168,5,Start trip,175,1.0
176,22,Permit APPROVED by SUPERVISOR,190,1.0
190,23,Permit FINAL_APPROVED by DIRECTOR,191,1.0
191,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
171,37,Request For Payment APPROVED by SUPERVISOR,192,1.0
192,38,Request For Payment FINAL_APPROVED by DIRECTOR,193,1.0
193,11,Request Payment,173,1.0
174,18,Send Reminder,177,1.0
179,32,Declaration APPROVED by SUPERVISOR,194,1.0
194,33,Declaration FINAL_APPROVED by DIRECTOR,195,1.0
195,11,Request Payment,173,1.0
177,18,Send Reminder,177,1.0
177,13,archive_application,181,1.0
183,5,Start trip,175,1.0
175,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
172,6,End trip,176,1.0
173,11,Request Payment,173,1.0
174,12,Payment Handled,174,1.0
182,22,Permit APPROVED by SUPERVISOR,190,1.0
169,5,Start trip,175,1.0
176,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
172,18,Send Reminder,177,1.0
177,11,Request Payment,173,1.0
171,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
188,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
172,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
175,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
179,6,End trip,176,1.0
176,10,Declaration FINAL_APPROVED by SUPERVISOR,180,1.0
168,22,Permit APPROVED by SUPERVISOR,190,1.0
173,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
172,12,Payment Handled,174,1.0
174,11,Request Payment,173,1.0
188,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
146,8,Declaration APPROVED by ADMINISTRATION,145,1.0
168,24,Permit REJECTED by SUPERVISOR,196,1.0
196,25,Permit REJECTED by EMPLOYEE,197,1.0
197,1,Permit SUBMITTED by EMPLOYEE,167,1.0
51,31,Declaration SAVED by EMPLOYEE,51,1.0
168,26,Permit REJECTED by BUDGET OWNER,198,1.0
198,25,Permit REJECTED by EMPLOYEE,197,1.0
167,30,Permit REJECTED by ADMINISTRATION,199,1.0
199,25,Permit REJECTED by EMPLOYEE,197,1.0
171,5,Start trip,175,1.0
175,16,Request For Payment APPROVED by BUDGET OWNER,183,1.0
183,6,End trip,176,1.0
176,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
172,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
186,11,Request Payment,173,1.0
176,13,archive_application,181,1.0
171,15,Request For Payment APPROVED by ADMINISTRATION,171,1.0
171,41,Request For Payment REJECTED by BUDGET OWNER,200,1.0
200,41,Request For Payment REJECTED by BUDGET OWNER,200,1.0
200,35,Request For Payment REJECTED by EMPLOYEE,188,1.0
183,16,Request For Payment APPROVED by BUDGET OWNER,183,1.0
172,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
143,31,Declaration SAVED by EMPLOYEE,189,1.0
189,7,Declaration SUBMITTED by EMPLOYEE,144,1.0
199,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
170,25,Permit REJECTED by EMPLOYEE,197,1.0
168,15,Request For Payment APPROVED by ADMINISTRATION,171,1.0
182,16,Request For Payment APPROVED by BUDGET OWNER,183,1.0
172,4,Permit FINAL_APPROVED by SUPERVISOR,169,1.0
169,11,Request Payment,173,1.0
173,3,Permit APPROVED by BUDGET OWNER,182,1.0
182,12,Payment Handled,174,1.0
174,4,Permit FINAL_APPROVED by SUPERVISOR,169,1.0
201,1,Permit SUBMITTED by EMPLOYEE,202,1.0
202,2,Permit APPROVED by ADMINISTRATION,203,1.0
203,4,Permit FINAL_APPROVED by SUPERVISOR,204,1.0
204,5,Start trip,205,1.0
205,6,End trip,206,1.0
206,7,Declaration SUBMITTED by EMPLOYEE,207,1.0
207,19,Declaration REJECTED by ADMINISTRATION,208,1.0
208,20,Declaration REJECTED by EMPLOYEE,209,1.0
209,7,Declaration SUBMITTED by EMPLOYEE,207,1.0
207,8,Declaration APPROVED by ADMINISTRATION,210,1.0
210,10,Declaration FINAL_APPROVED by SUPERVISOR,211,1.0
211,11,Request Payment,212,1.0
212,12,Payment Handled,213,1.0
213,13,archive_application,214,1.0
171,4,Permit FINAL_APPROVED by SUPERVISOR,169,1.0
169,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
203,3,Permit APPROVED by BUDGET OWNER,215,1.0
215,4,Permit FINAL_APPROVED by SUPERVISOR,204,1.0
210,9,Declaration APPROVED by BUDGET OWNER,216,1.0
216,10,Declaration FINAL_APPROVED by SUPERVISOR,211,1.0
201,5,Start trip,205,1.0
206,1,Permit SUBMITTED by EMPLOYEE,202,1.0
204,7,Declaration SUBMITTED by EMPLOYEE,207,1.0
205,1,Permit SUBMITTED by EMPLOYEE,202,1.0
203,6,End trip,206,1.0
206,4,Permit FINAL_APPROVED by SUPERVISOR,204,1.0
203,22,Permit APPROVED by SUPERVISOR,217,1.0
217,23,Permit FINAL_APPROVED by DIRECTOR,218,1.0
218,5,Start trip,205,1.0
179,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
180,10,Declaration FINAL_APPROVED by SUPERVISOR,180,1.0
203,5,Start trip,205,1.0
205,4,Permit FINAL_APPROVED by SUPERVISOR,204,1.0
204,6,End trip,206,1.0
210,28,Declaration REJECTED by SUPERVISOR,219,1.0
219,20,Declaration REJECTED by EMPLOYEE,209,1.0
204,18,Send Reminder,220,1.0
220,7,Declaration SUBMITTED by EMPLOYEE,207,1.0
166,5,Start trip,175,1.0
176,1,Permit SUBMITTED by EMPLOYEE,167,1.0
206,18,Send Reminder,220,1.0
210,32,Declaration APPROVED by SUPERVISOR,221,1.0
221,33,Declaration FINAL_APPROVED by DIRECTOR,222,1.0
222,11,Request Payment,212,1.0
169,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
186,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
205,7,Declaration SUBMITTED by EMPLOYEE,207,1.0
207,6,End trip,206,1.0
206,8,Declaration APPROVED by ADMINISTRATION,210,1.0
215,5,Start trip,205,1.0
172,5,Start trip,175,1.0
176,11,Request Payment,173,1.0
207,5,Start trip,205,1.0
203,24,Permit REJECTED by SUPERVISOR,223,1.0
223,25,Permit REJECTED by EMPLOYEE,224,1.0
224,1,Permit SUBMITTED by EMPLOYEE,202,1.0
203,18,Send Reminder,220,1.0
220,4,Permit FINAL_APPROVED by SUPERVISOR,204,1.0
188,27,Request For Payment SAVED by EMPLOYEE,225,1.0
225,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
182,5,Start trip,175,1.0
176,4,Permit FINAL_APPROVED by SUPERVISOR,169,1.0
173,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
179,12,Payment Handled,174,1.0
174,9,Declaration APPROVED by BUDGET OWNER,184,1.0
187,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
185,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
179,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
183,9,Declaration APPROVED by BUDGET OWNER,184,1.0
184,39,Request For Payment REJECTED by SUPERVISOR,226,1.0
226,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
170,10,Declaration FINAL_APPROVED by SUPERVISOR,180,1.0
173,15,Request For Payment APPROVED by ADMINISTRATION,171,1.0
171,12,Payment Handled,174,1.0
174,16,Request For Payment APPROVED by BUDGET OWNER,183,1.0
202,30,Permit REJECTED by ADMINISTRATION,227,1.0
227,25,Permit REJECTED by EMPLOYEE,224,1.0
210,7,Declaration SUBMITTED by EMPLOYEE,207,1.0
211,10,Declaration FINAL_APPROVED by SUPERVISOR,211,1.0
212,11,Request Payment,212,1.0
213,12,Payment Handled,213,1.0
206,3,Permit APPROVED by BUDGET OWNER,215,1.0
182,14,Request For Payment SUBMITTED by EMPLOYEE,170,1.0
210,29,Declaration REJECTED by BUDGET OWNER,228,1.0
228,20,Declaration REJECTED by EMPLOYEE,209,1.0
20,31,Declaration SAVED by EMPLOYEE,51,1.0
205,3,Permit APPROVED by BUDGET OWNER,215,1.0
180,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
179,11,Request Payment,173,1.0
173,28,Declaration REJECTED by SUPERVISOR,229,1.0
229,12,Payment Handled,174,1.0
174,20,Declaration REJECTED by EMPLOYEE,186,1.0
186,13,archive_application,181,1.0
171,39,Request For Payment REJECTED by SUPERVISOR,226,1.0
226,35,Request For Payment REJECTED by EMPLOYEE,188,1.0
206,19,Declaration REJECTED by ADMINISTRATION,208,1.0
212,6,End trip,206,1.0
206,12,Payment Handled,213,1.0
188,5,Start trip,175,1.0
171,7,Declaration SUBMITTED by EMPLOYEE,178,1.0
178,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
172,8,Declaration APPROVED by ADMINISTRATION,179,1.0
173,10,Declaration FINAL_APPROVED by SUPERVISOR,180,1.0
215,6,End trip,206,1.0
183,3,Permit APPROVED by BUDGET OWNER,182,1.0
190,17,Request For Payment FINAL_APPROVED by SUPERVISOR,172,1.0
172,23,Permit FINAL_APPROVED by DIRECTOR,191,1.0
191,11,Request Payment,173,1.0
178,20,Declaration REJECTED by EMPLOYEE,186,1.0
202,5,Start trip,205,1.0
206,2,Permit APPROVED by ADMINISTRATION,203,1.0
173,6,End trip,176,1.0
184,12,Payment Handled,174,1.0
174,10,Declaration FINAL_APPROVED by SUPERVISOR,180,1.0
213,5,Start trip,205,1.0
206,13,archive_application,214,1.0
215,22,Permit APPROVED by SUPERVISOR,217,1.0
217,5,Start trip,205,1.0
205,23,Permit FINAL_APPROVED by DIRECTOR,218,1.0
218,7,Declaration SUBMITTED by EMPLOYEE,207,1.0
210,6,End trip,206,1.0
206,9,Declaration APPROVED by BUDGET OWNER,216,1.0
220,31,Declaration SAVED by EMPLOYEE,230,1.0
230,7,Declaration SUBMITTED by EMPLOYEE,207,1.0
211,7,Declaration SUBMITTED by EMPLOYEE,207,1.0
